id,city,curr_diagnose,sum_diagnose,death,cure,date,note
1,武汉,30035,32994,1036,1923,2020/2/12,
2,孝感,2618,2874,49,207,2020/2/12,
3,黄冈,2177,2662,58,427,2020/2/12,
4,荆州,1306,1431,23,102,2020/2/12,
5,随州,1084,1160,14,62,2020/2/12,
6,襄阳,1022,1101,13,66,2020/2/12,
7,鄂州,940,1065,30,95,2020/2/12,
8,荆门,811,927,24,92,2020/2/12,
9,黄石,787,911,9,115,2020/2/12,
10,宜昌,727,810,11,72,2020/2/12,
11,十堰,480,562,0,81,2020/2/12,
12,咸宁,443,534,7,84,2020/2/12,
13,仙桃,416,480,16,48,2020/2/12,
14,天门,339,362,10,13,2020/2/12,
15,恩施州,177,229,4,48,2020/2/12,
16,潜江,81,94,5,8,2020/2/12,
17,神农架林区,2,10,0,8,2020/2/12,
18,深圳,309,391,0,82,2020/2/12,
19,广州,256,327,0,71,2020/2/12,
20,珠海,68,89,0,21,2020/2/12,
21,佛山,64,81,0,17,2020/2/12,
22,东莞,63,70,0,7,2020/2/12,
23,中山,42,64,0,22,2020/2/12,
24,惠州,48,55,0,7,2020/2/12,
25,汕头,17,25,0,8,2020/2/12,
26,江门,18,22,0,4,2020/2/12,
27,湛江,12,21,0,9,2020/2/12,
28,肇庆,8,16,0,7,2020/2/12,
29,阳江,8,13,0,5,2020/2/12,
30,梅州,8,13,0,5,2020/2/12,
31,茂名,11,13,0,2,2020/2/12,
32,清远,7,12,0,5,2020/2/12,
33,韶关,5,8,0,3,2020/2/12,
34,揭阳,5,8,0,3,2020/2/12,
35,汕尾,4,5,0,1,2020/2/12,
36,潮州,5,5,0,0,2020/2/12,
37,河源,2,3,0,1,2020/2/12,
38,信阳,191,240,0,49,2020/2/12,
39,南阳,105,145,2,38,2020/2/12,
40,郑州,94,141,0,47,2020/2/12,
41,驻马店,95,134,0,39,2020/2/12,
42,商丘,60,87,2,25,2020/2/12,
43,周口,48,68,0,20,2020/2/12,
44,平顶山,36,56,1,19,2020/2/12,
45,新乡,45,54,0,7,2020/2/12,
