id,province,curr_diagnose,sum_diagnose,death,cure,date,note
1,湖北,43445,48206,1310,3451,2020/2/12,
2,广东,950,1241,10,289,2020/2/12,
3,河南,873,1169,9,286,2020/2/12,
4,浙江,786,1145,5,359,2020/2/12,
5,湖南,636,968,4,330,2020/2/12,
6,安徽,756,910,3,149,2020/2/12,
7,江西,701,872,3,170,2020/2/12,
8,江苏,437,570,3,133,2020/2/12,
9,重庆,408,525,3,114,2020/2/12,
10,山东,403,509,2,104,2020/2/12,
11,四川,349,451,2,101,2020/2/12,
12,黑龙江,354,395,2,32,2020/2/12,
13,北京,295,366,2,68,2020/2/12,
14,上海,252,315,2,62,2020/2/12,
15,福建,225,279,1,54,2020/2/12,
16,河北,196,265,1,66,2020/2/12,
17,陕西,184,229,1,45,2020/2/12,
18,广西,187,222,1,33,2020/2/12,
19,海南,126,157,1,27,2020/2/12,
20,云南,129,156,1,27,2020/2/12,
21,贵州,114,135,1,20,2020/2/12,
22,山西,93,126,0,33,2020/2/12,
23,天津,103,117,0,11,2020/2/12,
24,辽宁,94,116,0,21,2020/2/12,
25,甘肃,51,87,0,34,2020/2/12,
26,吉林,61,84,0,22,2020/2/12,
27,宁夏,40,64,0,24,2020/2/12,
28,新疆,59,63,0,3,2020/2/12,
29,内蒙古,55,61,0,6,2020/2/12,
30,香港,49,51,0,1,2020/2/12,
31,台湾,17,18,0,1,2020/2/12,
32,青海,7,18,0,11,2020/2/12,
33,澳门,8,10,0,2,2020/2/12,
34,西藏,0,1,0,1,2020/2/12,
35,湖北,46768,51986,1318,3900,2020/2/13,
36,广东,911,1261,2,348,2020/2/13,
37,河南,823,1184,11,350,2020/2/13,
38,浙江,763,1155,0,392,2020/2/13,
39,安徽,744,934,6,184,2020/2/13,
40,江西,712,900,1,187,2020/2/13,
41,湖南,622,988,2,364,2020/2/13,
42,江苏,436,593,0,157,2020/2/13,
43,重庆,388,532,5,139,2020/2/13,
44,山东,385,523,2,136,2020/2/13,
45,黑龙江,361,418,11,46,2020/2/13,
46,四川,348,463,1,114,2020/2/13,
47,北京,289,372,3,80,2020/2/13,
48,上海,227,318,1,90,2020/2/13,
49,福建,218,281,0,63,2020/2/13,
50,河北,193,283,3,87,2020/2/13,
51,广西,189,226,2,35,2020/2/13,
52,陕西,181,230,0,49,2020/2/13,
53,云南,127,162,0,35,2020/2/13,
54,海南,115,158,4,39,2020/2/13,
55,贵州,111,140,1,28,2020/2/13,
56,山西,88,126,0,38,2020/2/13,
57,辽宁,87,117,1,29,2020/2/13,
58,天津,86,120,3,31,2020/2/13,
59,吉林,60,86,1,25,2020/2/13,
60,内蒙古,59,65,0,6,2020/2/13,
61,新疆,58,65,1,6,2020/2/13,
62,香港,54,56,1,1,2020/2/13,
63,甘肃,49,90,2,39,2020/2/13,
64,宁夏,43,67,0,24,2020/2/13,
65,台湾,16,18,0,2,2020/2/13,
66,澳门,7,10,0,3,2020/2/13,
67,青海,7,18,0,11,2020/2/13,
68,西藏,0,1,0,1,2020/2/13,
69,湖北,48175,54406,1457,4774,2020/2/14,
70,广东,887,1294,2,405,2020/2/14,
71,河南,828,1212,13,371,2020/2/14,
72,浙江,752,1162,0,410,2020/2/14,
73,安徽,739,950,6,205,2020/2/14,
74,江西,702,913,1,210,2020/2/14,
75,湖南,609,1001,2,390,2020/2/14,
76,江苏,433,604,0,171,2020/2/14,
77,山东,385,530,2,143,2020/2/14,
78,重庆,380,537,5,152,2020/2/14,
79,黑龙江,366,425,11,48,2020/2/14,
80,四川,353,470,1,116,2020/2/14,
81,北京,287,372,3,82,2020/2/14,
82,福建,219,285,0,66,2020/2/14,
83,上海,201,326,1,124,2020/2/14,
84,河北,201,291,3,87,2020/2/14,
85,广西,193,235,2,40,2020/2/14,
86,陕西,178,232,0,54,2020/2/14,
87,云南,123,162,0,39,2020/2/14,
88,海南,120,162,4,38,2020/2/14,
89,贵州,103,143,1,39,2020/2/14,
90,辽宁,89,119,1,29,2020/2/14,
